Time_s,V_source,V_node,V_out,I_ser,P_ser_W,P_ref_W,I_res1,I_res2,I_res3
3.785104462594697e-08,0.9959076657939079,0.09167559846727089,0.09245024003859431,-7.74641571323364e-06,6.000695640223303e-09,6.164792916893964e-06,-0.0004283282269360296,0.00019003772413749893,0.0003266612595387368
3.7860292376893944e-08,0.9958321036548413,0.09166807290251687,0.09243569470841106,-7.676218058942025e-06,5.892432368842766e-09,6.140562960882677e-06,-0.0004278545960488997,0.00019158815444313617,0.00032603582293298827
3.786954012784091e-08,0.995758449015249,0.09166070003832563,0.09242102398268115,-7.603239443555163e-06,5.780925003603302e-09,6.116463403645469e-06,-0.00042738064800615713,0.00019313602614818266,0.00032540081008735684
3.787878787878788e-08,0.9956869884980301,0.09165350432860245,0.09240622895944439,-7.5272463084189895e-06,5.66594369876073e-09,6.092506282856641e-06,-0.0004269064107251642,0.00019468128937868046,0.00032475621355284516
3.788803562973485e-08,0.9956179990755405,0.09164650937946982,0.09239131037702324,-7.4480099755339035e-06,5.5472852595652535e-09,6.068703261739974e-06,-0.0004264319116489389,0.00019622389480527142,0.0003241020266297842
3.789728338068182e-08,0.9955517470074793,0.09163973785953791,0.09237626862166945,-7.365307621315798e-06,5.424775635661257e-09,6.045065585295741e-06,-0.00042595717765962977,0.0001977637937499669,0.0003234382434536732
3.790653113162879e-08,0.9954884868246835,0.0916332114141794,0.09236110373655487,-7.2789232237545615e-06,5.29827232973135e-09,6.0216040386104496e-06,-0.0004254822349943354,0.00019930093829025107,0.0003227648590786707
3.791577888257576e-08,0.9954284603626539,0.09162695058413174,0.0923458154320662,-7.188648479344591e-06,5.16766669595833e-09,5.9983289073838226e-06,-0.00042500710916358944,0.00020083528136010062,0.0003220818695584262
3.792502663352273e-08,0.9953718958484518,0.0916209747287324,0.09233040309735845,-7.094283686260742e-06,5.03288610211453e-09,5.975249940796512e-06,-0.0004245318248728083,0.00020236677684756758,0.00032138927202393045
3.79342743844697e-08,0.995319007044339,0.09161530195407087,0.09231486581311664,-6.9956385904575045e-06,4.8938959288298266e-09,5.9523763168296036e-06,-0.000424056405947008,0.00020389537968854395,0.00032068706475809944
3.794352213541667e-08,0.9952699924513697,0.09160994904632487,0.09229920236547202,-6.8925331914716215e-06,4.750701379553797e-09,5.929716610136882e-06,-0.0004235808752590654,0.00020542104595634692,0.00031997524726681164
3.7952769886363637e-08,0.9952250345758221,0.0916049314105231,0.09228341126101397,-6.784798504908951e-06,4.603349075221474e-09,5.907278762558174e-06,-0.0004231052546617945,0.00020694373294681702,0.0003192538203461251
3.796201763731061e-08,0.9951842992611638,0.09160026301495819,0.09226749074283358,-6.672277278753235e-06,4.451928408456667e-09,5.885070056351369e-06,-0.0004226295649240825,0.0002084633992585929,0.0003185227861454296
3.797126538825758e-08,0.9951479350879404,0.09159595634144774,0.09225143880753388,-6.5548246608613796e-06,4.29657263346365e-09,5.863097090209207e-06,-0.00042215382567133115,0.00020998000486827822,0.00031778214822630207
