Time_s,V_source,V_node,V_out,I_ser,P_ser_W,P_ref_W,I_res1,I_res2,I_res3,I_res4,I_res5,I_res6,I_res7,I_res8
1.1735395951704546e-08,0.9966677921491318,0.0915661069420366,0.09014928921867596,1.4168177233606965e-05,2.0073724612289872e-08,1.3258289580763533e-06,-0.00022340721566410768,0.00041999355017801346,-0.00024466945161366567,1.7250494169181398e-05,9.937862188845716e-06,4.324372768611276e-05,-4.867945581045645e-05,1.024681502921032e-05
1.1744643702651515e-08,0.9967146114722055,0.09157044394697562,0.09015399460939479,1.4164493375808777e-05,2.006328725933307e-08,1.322290535926674e-06,-0.00022275346336823873,0.00041954845618749365,-0.00024553938064808415,1.807037466153177e-05,9.888136736248046e-06,4.312241313201675e-05,-4.908304410779049e-05,1.085214799222186e-05
1.1753891453598485e-08,0.9967597711136946,0.09157462953246764,0.09015856387790676,1.4160656545609e-05,2.00524193802699e-08,1.3187417035961962e-06,-0.00022209921847878133,0.0004190979292072131,-0.0002464015937640174,1.8889199115334963e-05,9.837680804585181e-06,4.299580383583022e-05,-4.9477818035356644e-05,1.1455063698414915e-05
1.1763139204545456e-08,0.996803096379404,0.0915786488580084,0.0901629971999091,1.4156516580993152e-05,2.0040696170793407e-08,1.3151788794402205e-06,-0.00022144445092486852,0.00041864201741862356,-0.0002472560346316086,1.9706947126411178e-05,9.786521488809598e-06,4.2863938782412924e-05,-4.9863690588556074e-05,1.2055445454066187e-05
1.1772386955492424e-08,0.9968444199087894,0.09158248773774254,0.09016729516190743,1.4151925758350958e-05,2.0027700266987736e-08,1.3115986082598247e-06,-0.00022078913069718353,0.00041818076919923223,-0.0002481026472904719,2.0523598212647637e-05,9.734685796850959e-06,4.2726857474880865e-05,-5.024057646663688e-05,1.265317704112629e-05
1.1781634706439395e-08,0.996883582322153,0.0915861326952387,0.09017145875785017,1.4146739373885228e-05,2.0013023491263462e-08,1.3079975744892326e-06,-0.000220133227970511,0.0004177142329597772,-0.00024894137627064287,2.1339131717789403e-05,9.682200558507291e-06,4.2584599843250264e-05,-5.060839217014301e-05,1.3248142663264871e-05
1.1790882457386365e-08,0.996920432836044,0.09158957101544284,0.09017548938420439,1.414081631238429e-05,1.9996268598059364e-08,1.3043726148215592e-06,-0.00021947671322543948,0.0004172424569817176,-0.0002497721667124309,2.215352671628239e-05,9.629092335354586e-06,4.24372061540055e-05,-5.0967056097103994e-05,1.384022689272785e-05
1.1800130208333333e-08,0.9969548298444835,0.09159279079360923,0.09017938883349386,1.4134019601154005e-05,1.997705100858056e-08,1.300720730218753e-06,-0.0002188195573687535,0.00041676548925566635,-0.0002505949644847091,2.2966761919546498e-05,9.575387332023213e-06,4.228471692093329e-05,-5.1316488637630475e-05,1.4429314618326407e-05
1.1809377959280304e-08,0.9969866414637865,0.09159578098102177,0.09018315928632664,1.4126216946951704e-05,1.995500052323455e-08,1.2970390972533896e-06,-0.00021816173185203769,0.00041628337732139357,-0.0002514097163011925,2.3778815584051963e-05,9.52111130918445e-06,4.2127172817558805e-05,-5.165661226658475e-05,1.5015290994872544e-05
1.1818625710227274e-08,0.9970157460388792,0.09159853142733028,0.09018680330194545,1.4117281253848421e-05,1.9929763000026008e-08,1.2933250787324166e-06,-0.00021750320878804612,0.0004157961681100204,-0.00025221636983424796,2.458966542156318e-05,9.466289498581117e-06,4.196461459151514e-05,-5.198735163400433e-05,1.5598041394369417e-05
