Time_s,V_source,V_node,V_out,I_ser,P_ser_W,P_ref_W,I_res1,I_res2,I_res3,I_res4,I_res5
1.0170676491477273e-07,0.9966154048978322,0.09150789091371879,0.08994142406949314,2.06903558872754e-05,3.241075649264528e-08,1.3262152209952021e-06,-0.0002180248109571282,0.0006203040671088544,-0.0002487577523558175,-4.658959788207223e-05,-9.607621995974563e-05
1.0171601266571971e-07,0.9966663470728696,0.09151215345108386,0.08994176966166874,2.0742092054089255e-05,3.2573045120297466e-08,1.321567041449908e-06,-0.00021747116060898984,0.0006198550274454326,-0.0002501626753824564,-4.526308610599589e-05,-9.58501962591133e-05
1.0172526041666667e-07,0.9967157409095819,0.09151627357664573,0.08994197300584805,2.079382605729269e-05,3.2735732231062505e-08,1.3169208466880767e-06,-0.00021691749467761355,0.0006194004570060361,-0.0002515601044549767,-4.393441065398937e-05,-9.562429475576864e-05
1.0173450816761364e-07,0.9967633948865143,0.09152023540186371,0.08994203420494898,2.0845346676987384e-05,3.289815107572366e-08,1.312272212790947e-06,-0.0002163637927373227,0.0006189403812082512,-0.00025294997684844906,-4.260362232717136e-05,-9.539847549542526e-05
1.0174375591856062e-07,0.9968091245440238,0.09152402366168447,0.0899419537438401,2.089644588356091e-05,3.305963842224508e-08,1.3076168443111757e-06,-0.0002158100345809873,0.000618474825300314,-0.00025433223028446214,-4.127077224396764e-05,-9.517269850395059e-05
1.0175300366950758e-07,0.9968527531975259,0.09152762377332532,0.08994173248498691,2.094691967162054e-05,3.321953742474709e-08,1.3029505904038793e-06,-0.00021525620030292677,0.0006180038142781875,-0.00025570680302417165,-3.9935911920602877e-05,-9.494692394336775e-05
1.0176225142045455e-07,0.9968941126194468,0.09153102189231879,0.08994137166265276,2.0996568876845557e-05,3.337720053727504e-08,1.2982694603748327e-06,-0.00021470227038053143,0.0006175273728038779,-0.0002570736339600589,-3.859909335027773e-05,-9.472111226710569e-05
1.0177149917140153e-07,0.9969330436872174,0.09153420496559866,0.08994087287568095,2.10451999724962e-05,3.353199245491302e-08,1.2935696385791564e-06,-0.00021414822575435794,0.000617045525125326,-0.0002584326627060063,-3.7260369080802195e-05,-9.449522437392257e-05
1.0178074692234849e-07,0.9969693969948139,0.0915371607814272,0.0899402380788851,2.1092625842584e-05,3.368329306424719e-08,1.2888474986076695e-06,-0.00021359404790633488,0.0006165582949981514,-0.00025978382968532286,-3.591979229029611e-05,-9.426922175988352e-05
1.0178999467329546e-07,0.9970030334255651,0.0915398780159697,0.08993946957308661,2.1138666528637025e-05,3.383050038372128e-08,1.2840996166967259e-06,-0.00021303971893580473,0.0006160657056095753,-0.0002611270762164442,-3.457741686068158e-05,-9.40430666678146e-05
1.0179924242424244e-07,0.9970338246839348,0.0915423462763418,0.08993856999383812,2.118314994721499e-05,3.397303347406178e-08,1.2793227843048046e-06,-0.00021248522163309414,0.0006155677795048155,-0.00026246234459593955,-3.323329744866549e-05,-9.381672223364794e-05
1.018084901751894e-07,0.9970616537843726,0.09154455613996279,0.08993754229887942,2.1225912575397595e-05,3.411033529828911e-08,1.2745140197973426e-06,-0.0002119305395503378,0.0006150645385162182,-0.00026378957817849624,-3.188748955392116e-05,-9.35901526290977e-05
1.0181773792613637e-07,0.9970864154952543,0.09154649919006781,0.08993638975437598,2.1266800101595894e-05,3.424187551055141e-08,1.2696705791895293e-06,-0.00021137565706928307,0.0006145560036954205,-0.00026510872145362173,-3.054004958418836e-05,-9.336332320011361e-05
1.0182698567708334e-07,0.9971080167363605,0.09154816804724496,0.0899351159199969,2.1305668039203776e-05,3.436715315307988e-08,1.2647899658960464e-06,-0.0002108205594657969,0.0006140421952487942,-0.0002664197201187564,-2.9191034917024406e-05,-9.313620060057268e-05
1.0183623342803031e-07,0.9971263769282714,0.0915495563968772,0.0899337246328908,2.1342382300704833e-05,3.448569924061922e-08,1.2598699394450278e-06,-0.0002102652329708706,0.0006135231324764197,-0.00026772252114847975,-2.784050395798729e-05,-9.290875292071266e-05
1.0184548117897728e-07,0.9971414282924883,0.09155065901238986,0.08993221999062352,2.137681973010629e-05,3.459707921246877e-08,1.2549085231156555e-06,-0.00020970966482782556,0.000612998833714814,-0.0002690170728596161,-2.648851619493864e-05,-9.268094980978581e-05
1.0185472892992425e-07,0.9971531161010933,0.09155147177421669,0.08993060633314755,2.1408868591587794e-05,3.47008952324946e-08,1.249904010464051e-06,-0.00020915384334556792,0.0006124693162836576,-0.0002703033249719654,-2.513513224834004e-05,-9.245276259249279e-05
1.0186397668087122e-07,0.9971613988750582,0.0915519916844147,0.08992888822387267,2.1438429012574892e-05,3.479678831889528e-08,1.244854970708476e-06,-0.00020859775794763956,0.0006119345964366909,-0.0002715812286643954,-2.378041391726053e-05,-9.222416437872965e-05
1.0187322443181818e-07,0.9971662485305174,0.09155221687687824,0.08992707042991377,2.1465413379533395e-05,3.488444028637236e-08,1.2397602529481115e-06,-0.0002080413992169099,0.0006113946893169825,-0.00027285073662615644,-2.2424424220940064e-05,-9.19951301662409e-05
1.0188247218276516e-07,0.9971676504724359,0.09155214662311568,0.08992515790159539,2.148974668498636e-05,3.496357548480143e-08,1.2346189891980316e-06,-0.00020748475893571898,0.0006108496089167429,-0.00027411180310318726,-2.1067227435734227e-05,-9.176563693578227e-05
1.0189171993371213e-07,0.9971656036354684,0.09155178133357532,0.08992315575129087,2.1511366824519963e-05,3.5033962320317284e-08,1.2294305962264111e-06,-0.0002069278301213374,0.0006102993680418234,-0.00027536438393922693,-1.9708889127283496e-05,-9.153566373843627e-05
1.019009676846591e-07,0.9971601204717975,0.09155112255451463,0.08992106923168296,2.153022484257902e-05,3.509541454595863e-08,1.2241947761874697e-06,-0.00020637060705660444,0.0006097439782810347,-0.0002766084366116222,-1.8349476177769985e-05,-9.130519177475072e-05
1.0191021543560607e-07,0.9971512268861584,0.09155017296043753,0.0899189037135293,2.154628512624734e-05,3.5147792311562545e-08,1.218911516048387e-06,-0.0002058130853156165,0.0006091834499804046,-0.00027784392026169487,-1.6989056808142652e-05,-9.107420446539473e-05
1.0191946318655304e-07,0.9971389621183373,0.09154893634212984,0.08991666466302117,2.1559525546277095e-05,3.5191002964207304e-08,1.213581085816791e-06,-0.000205255261784413,0.0006086177922224697,-0.0002790707957195107,-1.5627700595249594e-05,-9.084268751308702e-05
1.019287109375e-07,0.9971233785736417,0.09154741759034622,0.0899143576188233,2.1569937544880557e-05,3.522500159279352e-08,1.2082040355781373e-06,-0.0002046971346765218,0.0006080470128106555,-0.0002802890255230373,-1.4265478483725057e-05,-9.061062895553922e-05
1.0193795868844698e-07,0.997104541602115,0.09154562267521989,0.08991198816888736,2.1577526170023937e-05,3.5249791312643915e-08,1.2027811913618385e-06,-0.00020413870354337636,0.0006074711182588377,-0.00028149857393159266,-1.2902462792672289e-05,-9.037801920924708e-05
1.0194720643939395e-07,0.9970825292273848,0.0915435586214773,0.08990956192712604,2.158231005615076e-05,3.5265423288212434e-08,1.1973136498589086e-06,-0.00020357996927952119,0.0006068901137860766,-0.0002826994069335094,-1.1538727217031651e-05,-9.014485110395258e-05
1.0195645419034091e-07,0.9970574318262662,0.09154123347956054,0.08990708451004269,2.1584321351444114e-05,3.527199649420417e-08,1.1918027720189761e-06,-0.00020302093412261893,0.0006063040033165707,-0.00028389149224806385,-1.0174346823654632e-05,-8.991111990766347e-05
1.0196570194128789e-07,0.9970293517604757,0.09153865629277967,0.08990456151340506,2.158360559205664e-05,3.526965721806036e-08,1.1862501755639382e-06,-0.0002024616016482414,0.0006057127894848049,-0.00028507479932163304,-8.80939804207483e-06,-8.967682334213691e-05
1.0197494969223486e-07,0.9969984029618892,0.09153583706062038,0.08990199848905583,2.1580221523768665e-05,3.525859830844023e-08,1.1806577264558892e-06,-0.0002019019767595114,0.0006051164736458831,-0.0002862492993180844,-7.443958650037754e-06,-8.944196158879584e-05
1.0198419744318182e-07,0.9969647104730501,0.09153278669836043,0.08989940092194923,2.1574240871895353e-05,3.523905817702297e-08,1.1750275293658903e-06,-0.00020134206567158874,0.0006045150558909729,-0.00028741496510349934,-6.078107753771156e-06,-8.920653728504423e-05
1.019934451941288e-07,0.9969284099448162,0.09152951699315773,0.08989677420750347,2.156574806041855e-05,3.5211319562886344e-08,1.1693619171936864e-06,-0.00020078187589110083,0.0006039085350678267,-0.0002885717712252741,-4.711925763122791e-06,-8.897055551102308e-05
1.0200269294507576e-07,0.9968896470930586,0.0915260405567797,0.08989412362935736,2.1554839881419523e-05,3.5175708070365194e-08,1.1636634396925502e-06,-0.0002002214161906168,0.0006032969088062788,-0.0002897196938856602,-3.3454943616504334e-06,-8.873402376687589e-05
1.0201194069602273e-07,0.9968485771167037,0.0915223707751704,0.08989145433761585,2.154162511629232e-05,3.513259049379783e-08,1.1579348512588641e-06,-0.00019966069657821522,0.0006026801735485961,-0.0002908587109099143,-1.978896471706436e-06,-8.849695194060157e-05
1.0202118844696971e-07,0.996805364079339,0.09151852175504996,0.0898887713276714,2.152622411013836e-05,3.5082372943344976e-08,1.1521790979477848e-06,-0.00019909972826233536,0.0006020583245846002,-0.0002919888017091618,-6.122162147389935e-07,-8.825935226665858e-05
1.0203043619791667e-07,0.9967601802569014,0.09151450826776253,0.08988607941968002,2.1508768301181798e-05,3.5025498788366305e-08,1.1463993037826092e-06,-0.00019853852361200583,0.0006014313560913763,-0.0002931099472381049,7.5446113312198e-07,-8.802123927547385e-05
1.0203968394886364e-07,0.9967132054540148,0.09151034569059185,0.08988338323877389,2.1489399707013077e-05,3.496244643541815e-08,1.1405987564244032e-06,-0.00019797709611263747,0.0006007992611774316,-0.0002942221299478007,2.1210491899948344e-06,-8.778262973407598e-05
1.0204893169981062e-07,0.996664626291684,0.09150604994578103,0.08988068719608526,2.1468270369776174e-05,3.489372695943128e-08,1.1347808922751572e-06,-0.00019741546031753303,0.0006001620319311226,-0.0002953253337336744,3.487460521528053e-06,-8.754354257808356e-05
1.0205817945075758e-07,0.9966146354691588,0.09150163743749191,0.08987799547065514,2.144554176247145e-05,3.481988160709803e-08,1.1289492810860793e-06,-0.0001968536317953521,0.0005995196594731603,-0.00029641954387895676,4.853606698299564e-06,-8.730399883534413e-05
1.0206742720170455e-07,0.9965634310029076,0.0914971249869585,0.08987531199229623,2.1421384158793877e-05,3.474147919238472e-08,1.1231076101461782e-06,-0.00019629162707367258,0.0005988721340129642,-0.00029750474699382154,6.219398357199043e-06,-8.706402154150291e-05
1.0207667495265153e-07,0.9965112154456501,0.09149252976608575,0.08987264042547609,2.1395975968955542e-05,3.465911340405075e-08,1.1172596681268077e-06,-0.00019572946357894353,0.0005982194449086792,-0.000298580930950448,7.58474526646587e-06,-8.682363564787049e-05
1.0208592270359849e-07,0.9964581950885822,0.0914878692297554,0.08986998415428163,2.1369503044164353e-05,3.4573400045442943e-08,1.1114093286570632e-06,-0.00019516715957301452,0.0005975615807305807,-0.0002996480848142406,8.949556394219526e-06,-8.658286792193428e-05
1.0209517045454546e-07,0.9964045791498761,0.09148316104710741,0.08986734626852262,2.1342157952514058e-05,3.4484974226564167e-08,1.1055605337081968e-06,-0.00019460473408652222,0.0005968985293276321,-0.000300706198771527,1.031373998019081e-05,-8.634174684092426e-05
1.0210441820549244e-07,0.9963505789526894,0.09147842303206423,0.08986472955102677,2.1314139229130432e-05,3.439448752797267e-08,1.0997172768599824e-06,-0.0001940422068493802,0.0005962302778969433,-0.00030175526405401304,1.1677203610391087e-05,-8.610030247884864e-05
1.021136659564394e-07,0.996296407095849,0.09147367307336904,0.08986213646617514,2.1285650603538102e-05,3.4302605155539935e-08,1.093883586526053e-06,-0.00019347959821865496,0.0005955568130558335,-0.0003027952728602487,1.3039854294443118e-05,-8.585856638745182e-05
1.0212291370738637e-07,0.9962422766205274,0.09146892906441569,0.08985956914972006,2.1256900207312255e-05,3.421000310433316e-08,1.0880635092100253e-06,-0.00019291692910411348,0.000594878120916234,-0.0003038262182744904,1.4401598545286962e-05,-8.561657147156433e-05
1.0213216145833335e-07,0.9961884001761064,0.09146420883314187,0.08985702939992492,2.1228099765115996e-05,3.411736534877161e-08,1.0822610928652324e-06,-0.00019235422089171252,0.0005941941871611234,-0.0003048480941832354,1.5762342460968284e-05,-8.537435185933168e-05
1.0214140920928031e-07,0.9961349891885216,0.09145953007225838,0.08985451867005793,2.1199463772294387e-05,3.402538107506696e-08,1.0764803704269983e-06,-0.0001917914953653777,0.0005935049971227219,-0.0003058608951897508,1.712199180816704e-05,-8.513194276785035e-05
1.0215065696022728e-07,0.9960822530343411,0.09145491027008984,0.0898520380622673,2.1171208662297172e-05,3.39347419708075e-08,1.070725343585011e-06,-0.0001912287746273082,0.0005928105358620918,-0.00030686461652697293,1.8480452107234658e-05,-8.488938036471197e-05
1.0215990471117425e-07,0.996030398223756,0.09145036664229367,0.08984958832286191,2.1143551967134038e-05,3.384613958476602e-08,1.0649999668605961e-06,-0.0001906660810171917,0.0005921107882498914,-0.00030785925396910227,1.9837628718321942e-05,-8.46467016260307e-05
1.0216915246212122e-07,0.9959796275957296,0.09144591606472452,0.08984716983901157,2.1116711474215313e-05,3.3760262768868777e-08,1.0593081320497511e-06,-0.00019010343703058978,0.0005914057390479185,-0.00030884480374221836,2.1193426928356513e-05,-8.440394419148723e-05
1.0217840021306819e-07,0.9959301395283523,0.09144157500770266,0.08984478263687991,2.1090904382812616e-05,3.367779521222714e-08,1.0536536530913596e-06,-0.0001895408652368436,0.000590695372991145,-0.00030982126243430785,2.2547752038508977e-05,-8.416114621697009e-05
1.0218764796401516e-07,0.995882127167549,0.09143735947194574,0.08984242638119544,2.1066346463482613e-05,3.3599413075818314e-08,1.0480402514140705e-06,-0.00018897838819680076,0.0005899796748699331,-0.00031078862690504593,2.3900509451827094e-05,-8.391834622538616e-05
1.0219689571496213e-07,0.995835777677076,0.0914332849264075,0.08984010037625924,2.104325122372444e-05,3.35257827345245e-08,1.042471541815126e-06,-0.0001884160283806972,0.0005892586296120918,-0.0003117468941956488,2.5251604760714545e-05,-8.367558295622447e-05
1.022061434659091e-07,0.9957912715127452,0.09142936624826752,0.08983780356838611,2.1021829083098356e-05,3.3457558631504275e-08,1.0369510189166093e-06,-0.00018785380808650798,0.0005885322223644647,-0.00031269606143921304,2.6600943833931183e-05,-8.343289521446297e-05
