Frequency_MHz,I_ser_RMS,Phase_I_ser_deg,I_load_RMS,Phase_I_load_deg,Current_Ratio,V_node_RMS,Phase_V_node_deg,S21_dB,S21_Phase_deg,S11_dB,S11_Phase_deg
164.97248624312155,0.00020659968112125113,9.155368629074546,0.00032784668855536856,44.47816385573863,1.5868692864194638,0.01721799279334945,-0.633273350931396,-15.280349565821215,-0.633273350931396,-31.40741616231493,-177.7215990013697
165.11255627813907,0.00020782267056176695,9.445025699460645,0.00032875717135743535,42.600140222951126,1.581911975574029,0.017212066605929208,-0.6572233394630962,-15.283339639687647,-0.6572233394630962,-31.396009419590097,-177.63930530735288
165.25262631315658,0.00020907808892041966,9.686679072269866,0.000329020826230527,40.81156487934952,1.5736743526279338,0.01720581874875552,-0.6781980086153194,-15.28649312793491,-0.6781980086153194,-31.384101489638148,-177.56814773673943
165.3926963481741,0.00021034198545928558,9.883917768372918,0.00032872795492819556,39.11470056623276,1.56282614814352,0.017199383488606845,-0.6963152482338236,-15.289742401676103,-0.6963152482338235,-31.371941081200212,-177.50757483515773
165.53276638319159,0.0002115950223827671,10.040921396601131,0.00032796395552436256,37.509842810867646,1.5499606362719092,0.01719287434945382,-0.7117468974632492,-15.293030215187093,-0.711746897463249,-31.359734945290118,-177.45684833505777
165.6728364182091,0.00021282219244830996,10.162106346048844,0.0003268074352469563,35.99574551283831,1.5355890825451906,0.017186384229718365,-0.7246987372448269,-15.296309661385708,-0.7246987372448268,-31.347649014301755,-177.41512097644525
165.8129064532266,0.00021401234436187376,10.251865138138113,0.0003253291810547437,34.57000087518419,1.520142130234526,0.017179986721761166,-0.7353940569034201,-15.299543523279064,-0.7353940569034201,-31.335811742737167,-177.38149872064008
165.9529764882441,0.00021515762080312294,10.314389102842712,0.0003235917933403179,33.22936542645993,1.5039755140089421,0.017173738142467247,-0.744060941411796,-15.30270326627371,-0.744060941411796,-31.324318652030207,-177.3550874146204
166.09304652326165,0.00021625288336794764,10.353559227764558,0.00032164979722385174,31.97003058921773,1.4873780742917286,0.01716767989036187,-0.7509230050587282,-15.305767863646025,-0.7509230050587282,-31.31323732637853,-177.33502553562207
166.23311655827914,0.00021729517146911834,10.372889024609362,0.00031955007168576994,30.787840680647296,1.4705806370445922,0.017161840855168566,-0.7561930761884395,-15.308722592676267,-0.7561930761884395,-31.30261234508761,-177.3205053775155
166.37318659329665,0.0002182832208666511,10.375504703386468,0.0003173324689154507,29.6784637753552,1.453764827436318,0.017156239702759507,-0.7600692615129534,-15.311557890648173,-0.7600692615129534,-31.292469837441214,-177.31078519570207
166.51325662831417,0.00021921705232019376,10.364150474097901,0.00031503052809740944,28.63752200072277,1.4370712714322433,0.017150886934946027,-0.7627328341725693,-15.31426832171132,-0.7627328341725692,-31.28282149796175,-177.3051946415116
166.65332666333165,0.0002200976310281656,10.341209549539347,0.00031267221585587284,27.660688025238084,1.42060691155672,0.0171457866789128,-0.764347454899514,-15.316851677861575,-0.764347454899514,-31.273668005289036,-177.30313546736755
166.79339669834917,0.0002209265918037515,10.308733940492532,0.00031028064832706436,26.743754109542518,1.4044513419311961,0.017140938198070665,-0.765059320745396,-15.319308218691214,-0.765059320745396,-31.26500185485101,-177.30407908678168
166.93346673336666,0.0002217060221177658,10.268478222764518,0.00030787476723577597,25.882679392123677,1.3886621765837244,0.017136337138671257,-0.7649979225217798,-15.321640043143924,-0.7649979225217799,-31.256809653613292,-177.3075621956591
167.0735367683842,0.00022243829420105118,10.221934077922725,0.0003054699550129004,25.073620262823283,1.373279525047971,0.017131976538657757,-0.7642771704897948,-15.32385058032027,-0.7642771704897948,-31.24907394328773,-177.3131813356573
167.21360680340172,0.00022312593758661353,10.170363609148351,0.0003030785827647433,24.312947854147332,1.3583296771451931,0.017127847630298104,-0.7629967137101531,-15.325944183739495,-0.7629967137101531,-31.241774623548263,-177.3205870167211
167.3536768384192,0.00022377154425835894,10.114830284348358,0.00030071049067870815,23.597255918572316,1.3438281068102125,0.01712394046876918,-0.7612433310473316,-15.327925813071497,-0.7612433310473317,-31.234890044293383,-177.32947781239238
167.49374687343672,0.00022437769961812452,10.056226938862261,0.00029837340401227345,22.92336169105109,1.32978190132123,0.01712024441691282,-0.7590923121553519,-15.329800788268166,-0.7590923121553519,-31.22839782942502,-177.33959469026072
167.6338169084542,0.0002249469335794871,9.995300649821012,0.0002960732898095631,22.288301769413852,1.316191712855436,0.01711674851314297,-0.7566087766947376,-15.331574602603881,-0.7566087766947376,-31.222275486335406,-177.3507157312745
167.77388694347172,0.00022548168713146512,9.932674530697994,0.00029381466042280026,21.6893245783163,1.3030533173698235,0.017113441745763708,-0.7538489015637181,-15.33325278296963,-0.7538489015637182,-31.216500846728444,-177.36265131609275
167.91395697848924,0.00022598429063284002,9.868866631987324,0.0002916008301558962,21.123880605282434,1.2903588534375796,0.01711031325325034,-0.7508610409613691,-15.334840787604477,-0.7508610409613692,-31.211052376348075,-177.37523980595847
168.05402701350675,0.00022645695087966032,9.80430620492322,0.00028943413115980907,20.589611297908668,1.2780978019686176,0.017107352466615933,-0.7476867342544545,-15.336343933156423,-0.7476867342544546,-31.205909384023546,-177.38834371295636
168.19409704852427,0.00022690174463617005,9.739347613129294,0.00028731609427813464,20.084337276787277,1.266257757245706,0.0171045492069588,-0.7443616032044752,-15.337767344476571,-0.7443616032044752,-31.20105215430716,-177.40184633472398
168.3341670835418,0.00022732061684494143,9.674282178374856,0.00028524759998973013,19.606046337280382,1.2548250306055675,0.017101893748697732,-0.7409161441486356,-15.339115921846647,-0.7409161441486357,-31.196462022861095,-177.4156488177392
168.47423711855927,0.0002277153821517184,9.609348232302304,0.00028322900400248603,19.15288157446678,1.2437851203823418,0.017099376856839182,-0.7373764229909474,-15.340394321424588,-0.7373764229909474,-31.192121409559945,-177.42966760830166
168.6143071535768,0.00022808772871148978,9.544739623412386,0.0002812602414676323,18.723129860516732,1.2331230753031914,0.01709698980484398,-0.7337646819182178,-15.34160694558606,-0.7337646819182178,-31.18801382089898,-177.44383224917135
168.75437718859428,0.00022843922350069336,9.480612902465678,0.0002793409132352054,18.315210825068313,1.2228237732315594,0.017094724378221134,-0.7300998670227643,-15.34275794056411,-0.7300998670227643,-31.184123830606868,-177.458083481059
168.8944472236118,0.00022877131856037687,9.41709338269388,0.00027747035707294005,17.927666430941557,1.212872132831243,0.017092572867822117,-0.7263980857816984,-15.343851199371386,-0.7263980857816984,-31.18043704523766,-177.47237161077857
169.03451725862934,0.00022908535774864095,9.354280245527985,0.0002756477063284025,17.559151194990893,1.20325327221852,0.017090528055890904,-0.7226730028149932,-15.34489036845238,-0.7226730028149932,-31.176940059855124,-177.48665511119341
169.17458729364682,0.00022938258369770416,9.29225083885997,0.0002738719381277127,17.208423073306733,1.193952625839456,0.017088583197201142,-0.7189361816593429,-15.345878856879358,-0.718936181659343,-31.17362040763033,-177.5008994216763
169.31465732866434,0.00022966414475951267,9.231064293580761,0.0002721419128708137,16.874335008430037,1.1849560285336687,0.01708673199704387,-0.7151973795439813,-15.346819847192881,-0.7151973795439813,-31.17046650617542,-177.51507592138609
169.45472736368183,0.00022993110179039746,9.170764565382813,0.00027045640649820454,16.555827121463125,1.1762497739203175,0.01708496858738681,-0.7114648013968965,-15.347716307212105,-0.7114648013968964,-31.16746760267107,-177.52916105107008
169.59479739869934,0.0002301844346749428,9.111382992502195,0.0002688141367620781,16.251919522207228,1.1678206527808304,0.017083287502182895,-0.7077453185813869,-15.348571002314294,-0.7077453185813869,-31.16461371926,-177.54313556224682
169.73486743371686,0.00023042504852594667,9.052940446027346,0.0002672137845305703,15.961705704417042,1.1596559759451721,0.017081683652541375,-0.7040446571843663,-15.349386507817249,-0.7040446571843663,-31.161895599736447,-177.55698387546397
169.87493746873434,0.00023065377952422362,8.995449137390088,0.00026565401098205266,15.684346489901964,1.1517435852558977,0.017080152302271716,-0.7003675600592245,-15.350165221201733,-0.7003675600592245,-31.159304658227246,-177.57069353185372
170.01500750375186,0.00023087140038140902,8.938914137444812,0.00026413347140252173,15.419064483784256,1.1440718554405718,0.017078689044155788,-0.6967179262710995,-15.350909373989925,-0.6967179262710995,-31.156832930311495,-177.58425472442988
170.1550775387694,0.00023107862542272618,8.883334652897394,0.00026265082617883944,15.165139003157792,1.13662968913008,0.017077289777187078,-0.6930989311001873,-15.351621043155356,-0.6930989311001874,-31.15447302684035,-177.5976598975106
170.2951475737869,0.00023127611529625972,8.828705098549802,0.00026120474948021597,14.92190144225648,1.129406506787864,0.017075950684927052,-0.6895131293259733,-15.352302161985328,-0.6895131293259734,-31.152218090584412,-177.61090340432884
170.4352176088044,0.00023146448132174683,8.775015997683797,0.0002597939360367347,14.68873103872577,1.1223922329387919,0.017074668215063822,-0.6859625441374347,-15.352954530349951,-0.6859625441374346,-31.15006175573839,-177.62398121434165
170.5752876438219,0.0002316442894960425,8.722254737743302,0.00025841710635414277,14.465051007459795,1.1155772797868073,0.01707343906020977,-0.6824487436859954,-15.353579824356958,-0.6824487436859953,-31.14799811024359,-177.63689066299227
170.7153576788394,0.0002318160641748762,8.670406204138317,0.0002570730106462601,14.250325010548021,1.1089525290720608,0.017072260139939916,-0.678972907013965,-15.354179605389412,-0.6789729070139648,-31.146021660842372,-177.64963023774453
170.85542771385693,0.0002319802914517545,8.619453311355478,0.0002557604317182996,14.044053934062319,1.1025093128288044,0.017071128584048138,-0.6755358808462325,-15.354755328536186,-0.6755358808462325,-31.144127300746213,-177.66219939511893
